quantile,ccyy,cname,year,threshold,hc,hmc,hmchousa,hnchousi,hcmed,hmcmed,hncmed,hceduc,hmceduc,hnceduc,hncbgifte,hncbgiftg,hncbgifto,hchousa,hchousi
1,au10,Australia,2010,2274,58231,43969,3998,14261,1819,1819,.,1924,1924,.,.,.,.,3998,14261
2,au10,Australia,2010,9858,47917,34753,2796,13165,1088,1088,.,185,185,.,.,.,.,2796,13165
3,au10,Australia,2010,13143,35813,24083,3652,11731,1182,1182,.,135,135,.,.,.,.,3652,11731
4,au10,Australia,2010,15163,37275,27109,4126,10165,2684,2684,.,229,229,.,.,.,.,4126,10165
5,au10,Australia,2010,16115,27338,14311,1410,13028,1258,1258,.,16,16,.,.,.,.,1410,13028
6,au10,Australia,2010,16898,30001,19125,2373,10876,1147,1147,.,281,281,.,.,.,.,2373,10876
7,au10,Australia,2010,17315,28077,15542,737,12535,842,842,.,100,100,.,.,.,.,737,12535
8,au10,Australia,2010,17367,27764,16732,2164,11032,997,997,.,60,60,.,.,.,.,2164,11032
9,au10,Australia,2010,17842,37772,24641,1176,13131,1443,1443,.,0,0,.,.,.,.,1176,13131
10,au10,Australia,2010,18045,28065,17175,2477,10890,961,961,.,119,119,.,.,.,.,2477,10890
11,au10,Australia,2010,18149,37585,25259,3154,12326,1346,1346,.,2107,2107,.,.,.,.,3154,12326
12,au10,Australia,2010,18563,34357,23039,3306,11318,715,715,.,34,34,.,.,.,.,3306,11318
13,au10,Australia,2010,19135,37341,27411,3918,9930,830,830,.,250,250,.,.,.,.,3918,9930
14,au10,Australia,2010,19782,42946,31900,3949,11046,1179,1179,.,186,186,.,.,.,.,3949,11046
15,au10,Australia,2010,20447,38750,28889,3613,9861,2555,2555,.,1090,1090,.,.,.,.,3613,9861
16,au10,Australia,2010,21225,39552,27885,2702,11667,1100,1100,.,184,184,.,.,.,.,2702,11667
17,au10,Australia,2010,22164,45556,33170,2282,12386,1565,1565,.,334,334,.,.,.,.,2282,12386
18,au10,Australia,2010,23182,38812,26665,2174,12147,1511,1511,.,31,31,.,.,.,.,2174,12147
19,au10,Australia,2010,24041,40543,28235,3026,12308,1414,1414,.,536,536,.,.,.,.,3026,12308
20,au10,Australia,2010,24874,41012,29792,3824,11221,1167,1167,.,50,50,.,.,.,.,3824,11221
21,au10,Australia,2010,25943,42171,29070,2406,13101,1422,1422,.,85,85,.,.,.,.,2406,13101
22,au10,Australia,2010,26249,44432,32621,2917,11811,1371,1371,.,236,236,.,.,.,.,2917,11811
23,au10,Australia,2010,26791,42664,30328,3091,12336,1557,1557,.,686,686,.,.,.,.,3091,12336
24,au10,Australia,2010,27156,43303,32751,3973,10553,1090,1090,.,344,344,.,.,.,.,3973,10553
25,au10,Australia,2010,27739.5,46338,33914,3175,12424,1143,1143,.,814,814,.,.,.,.,3175,12424
26,au10,Australia,2010,28376,46620,35764,4116,10856,1010,1010,.,597,597,.,.,.,.,4116,10856
27,au10,Australia,2010,28915,43923,32800,4242,11123,1437,1437,.,151,151,.,.,.,.,4242,11123
28,au10,Australia,2010,29487,45111,36757,6140,8354,892,892,.,601,601,.,.,.,.,6140,8354
29,au10,Australia,2010,30180,47115,35193,3783,11922,1417,1417,.,115,115,.,.,.,.,3783,11922
30,au10,Australia,2010,30900,46832,35810,5362,11022,960,960,.,2428,2428,.,.,.,.,5362,11022
31,au10,Australia,2010,31493,51639,40624,4435,11015,1762,1762,.,1536,1536,.,.,.,.,4435,11015
32,au10,Australia,2010,32161,44400,33660,3967,10740,1138,1138,.,1203,1203,.,.,.,.,3967,10740
33,au10,Australia,2010,32839,47853,36552,4066,11302,1309,1309,.,1087,1087,.,.,.,.,4066,11302
34,au10,Australia,2010,33665,52007,40196,4473,11811,1837,1837,.,1319,1319,.,.,.,.,4473,11811
35,au10,Australia,2010,34575,56324,42270,2899,14054,979,979,.,898,898,.,.,.,.,2899,14054
36,au10,Australia,2010,35234,46865,36732,5209,10133,1057,1057,.,304,304,.,.,.,.,5209,10133
37,au10,Australia,2010,36071,47680,37664,5846,10016,1246,1246,.,552,552,.,.,.,.,5846,10016
38,au10,Australia,2010,36903,58991,48001,5141,10990,3669,3669,.,304,304,.,.,.,.,5141,10990
39,au10,Australia,2010,37798,52786,42831,5863,9956,1248,1248,.,252,252,.,.,.,.,5863,9956
40,au10,Australia,2010,38715,56325,43848,5805,12477,1294,1294,.,1180,1180,.,.,.,.,5805,12477
41,au10,Australia,2010,39543,53224,41520,5541,11704,1160,1160,.,247,247,.,.,.,.,5541,11704
42,au10,Australia,2010,40355,58431,48554,6354,9877,950,950,.,3224,3224,.,.,.,.,6354,9877
43,au10,Australia,2010,41223,63017,48618,4049,14399,1482,1482,.,2792,2792,.,.,.,.,4049,14399
44,au10,Australia,2010,42120,52032,40617,4610,11415,1460,1460,.,1365,1365,.,.,.,.,4610,11415
45,au10,Australia,2010,43111,54986,44845,5686,10140,1403,1403,.,1213,1213,.,.,.,.,5686,10140
46,au10,Australia,2010,44267,56123,46067,6736,10056,1348,1348,.,1553,1553,.,.,.,.,6736,10056
47,au10,Australia,2010,45341,65416,55969,5185,9447,11698,11698,.,1206,1206,.,.,.,.,5185,9447
48,au10,Australia,2010,46204,64061,52674,4962,11386,2299,2299,.,806,806,.,.,.,.,4962,11386
49,au10,Australia,2010,47306,64703,53164,4936,11540,1360,1360,.,1078,1078,.,.,.,.,4936,11540
50,au10,Australia,2010,48375,61832,48646,3441,13187,1738,1738,.,658,658,.,.,.,.,3441,13187
51,au10,Australia,2010,49492,59139,48800,5509,10339,1389,1389,.,538,538,.,.,.,.,5509,10339
52,au10,Australia,2010,50671,57100,47986,7348,9114,1408,1408,.,1414,1414,.,.,.,.,7348,9114
53,au10,Australia,2010,51878,60968,50598,6375,10370,1915,1915,.,1536,1536,.,.,.,.,6375,10370
54,au10,Australia,2010,53256,62255,52698,6939,9557,1829,1829,.,803,803,.,.,.,.,6939,9557
55,au10,Australia,2010,54481,66547,52695,2954,13851,1617,1617,.,1524,1524,.,.,.,.,2954,13851
56,au10,Australia,2010,55903,69651,56162,3925,13489,2035,2035,.,966,966,.,.,.,.,3925,13489
57,au10,Australia,2010,57236,69773,57410,5357,12363,1279,1279,.,1606,1606,.,.,.,.,5357,12363
58,au10,Australia,2010,58691,73556,60207,3823,13349,1968,1968,.,1939,1939,.,.,.,.,3823,13349
59,au10,Australia,2010,60222,69103,56045,4771,13058,2969,2969,.,738,738,.,.,.,.,4771,13058
60,au10,Australia,2010,61612,64620,50467,4041,14152,1451,1451,.,635,635,.,.,.,.,4041,14152
61,au10,Australia,2010,63087,71203,57331,3924,13871,2123,2123,.,1429,1429,.,.,.,.,3924,13871
62,au10,Australia,2010,64366,71490,58867,5505,12623,2395,2395,.,2987,2987,.,.,.,.,5505,12623
63,au10,Australia,2010,65705,79630,65564,5681,14066,1583,1583,.,2107,2107,.,.,.,.,5681,14066
64,au10,Australia,2010,67141,71826,59912,5872,11914,2442,2442,.,806,806,.,.,.,.,5872,11914
65,au10,Australia,2010,68861,69898,57548,4395,12350,2492,2492,.,1101,1101,.,.,.,.,4395,12350
66,au10,Australia,2010,70227,78807,63253,3446,15554,1643,1643,.,1378,1378,.,.,.,.,3446,15554
67,au10,Australia,2010,71976,77324,64456,6282,12868,2437,2437,.,1883,1883,.,.,.,.,6282,12868
68,au10,Australia,2010,73653,67218,53056,4245,14163,1384,1384,.,2449,2449,.,.,.,.,4245,14163
69,au10,Australia,2010,75300,77454,64788,5903,12666,1462,1462,.,2390,2390,.,.,.,.,5903,12666
70,au10,Australia,2010,77063,78790,62756,6021,16034,1973,1973,.,3549,3549,.,.,.,.,6021,16034
71,au10,Australia,2010,78534,74874,61222,3288,13652,1512,1512,.,1713,1713,.,.,.,.,3288,13652
72,au10,Australia,2010,80136,81194,65908,3481,15285,2375,2375,.,1420,1420,.,.,.,.,3481,15285
73,au10,Australia,2010,82114,84299,72304,7114,11995,1607,1607,.,1055,1055,.,.,.,.,7114,11995
74,au10,Australia,2010,83937,82119,69326,5189,12793,1811,1811,.,3429,3429,.,.,.,.,5189,12793
75,au10,Australia,2010,85766.5,82272,67661,4160,14610,1877,1877,.,1097,1097,.,.,.,.,4160,14610
76,au10,Australia,2010,87618,80997,66717,4812,14281,2586,2586,.,1653,1653,.,.,.,.,4812,14281
77,au10,Australia,2010,89316,86972,72313,5557,14658,2163,2163,.,2250,2250,.,.,.,.,5557,14658
78,au10,Australia,2010,91108,84929,68707,3792,16222,1786,1786,.,824,824,.,.,.,.,3792,16222
79,au10,Australia,2010,93233,90378,73098,4012,17280,3737,3737,.,2565,2565,.,.,.,.,4012,17280
80,au10,Australia,2010,95580,85925,71410,3857,14514,3140,3140,.,1780,1780,.,.,.,.,3857,14514
81,au10,Australia,2010,97836,92122,77691,4072,14430,2478,2478,.,3132,3132,.,.,.,.,4072,14430
82,au10,Australia,2010,99989,90392,77346,5657,13046,2123,2123,.,6986,6986,.,.,.,.,5657,13046
83,au10,Australia,2010,102695,99672,84238,3965,15434,2283,2283,.,2179,2179,.,.,.,.,3965,15434
84,au10,Australia,2010,105453,97460,80870,4186,16590,2513,2513,.,2144,2144,.,.,.,.,4186,16590
85,au10,Australia,2010,108006,94343,76294,1506,18048,3347,3347,.,4838,4838,.,.,.,.,1506,18048
86,au10,Australia,2010,111134,95248,79612,4193,15635,2400,2400,.,3709,3709,.,.,.,.,4193,15635
87,au10,Australia,2010,114372,106669,91890,4321,14779,2873,2873,.,2711,2711,.,.,.,.,4321,14779
88,au10,Australia,2010,118473,90680,74676,2999,16003,2000,2000,.,2944,2944,.,.,.,.,2999,16003
89,au10,Australia,2010,122470,116061,101190,8914,14871,3022,3022,.,5191,5191,.,.,.,.,8914,14871
90,au10,Australia,2010,126815,103032,88465,6260,14567,2619,2619,.,1800,1800,.,.,.,.,6260,14567
91,au10,Australia,2010,132239,103287,85607,4317,17680,2579,2579,.,2660,2660,.,.,.,.,4317,17680
92,au10,Australia,2010,137475,115044,99423,6166,15620,2256,2256,.,5450,5450,.,.,.,.,6166,15620
93,au10,Australia,2010,142826,108062,92997,6650,15065,2974,2974,.,3133,3133,.,.,.,.,6650,15065
94,au10,Australia,2010,150186,109458,90844,2294,18613,3118,3118,.,3787,3787,.,.,.,.,2294,18613
95,au10,Australia,2010,158557,112019,95838,5274,16181,2189,2189,.,3269,3269,.,.,.,.,5274,16181
96,au10,Australia,2010,168410,121106,101262,5878,19844,3020,3020,.,2370,2370,.,.,.,.,5878,19844
97,au10,Australia,2010,184558,135647,113729,2832,21918,3492,3492,.,4167,4167,.,.,.,.,2832,21918
98,au10,Australia,2010,207634,134200,108334,1412,25866,4466,4466,.,3641,3641,.,.,.,.,1412,25866
99,au10,Australia,2010,256992,164727,141129,6094,23598,5511,5511,.,6431,6431,.,.,.,.,6094,23598
100,au10,Australia,2010,.,212314,179104,2616,33209,5443,5443,.,16459,16459,.,.,.,.,2616,33209
1,do07,Dominican Republic,2007,3620,403743,215745,10861,141304,24404,21350,3054,18584,18089,496,0,723,24548,11489,141304
2,do07,Dominican Republic,2007,8400,78402,31737,905,12057,3816,1298,2518,455,351,104,37,2135,31943,2586,12057
3,do07,Dominican Republic,2007,11700,77350,39425,578,10981,5319,2416,2903,37,35,2,4,3974,23857,668,10981
4,do07,Dominican Republic,2007,14860,107780,61735,909,10369,6212,2434,3779,734,677,57,519,3072,26965,909,10369
5,do07,Dominican Republic,2007,18000,104110,46733,590,12011,14159,3466,10693,438,364,74,845,6866,32705,590,12011
6,do07,Dominican Republic,2007,20800,104798,59043,613,11730,10933,2780,8153,1396,341,1054,926,2816,39448,1260,11730
7,do07,Dominican Republic,2007,23568,96110,57017,2599,12589,6286,2680,3606,345,329,15,968,2600,26527,2805,12589
8,do07,Dominican Republic,2007,25600,123912,70238,1493,18228,7700,3241,4459,467,436,31,1110,2739,28512,1493,18228
9,do07,Dominican Republic,2007,28000,127702,84050,3574,13038,18585,5021,13565,842,793,49,2420,14144,29016,3631,13038
10,do07,Dominican Republic,2007,30000,110575,69074,1333,13037,10596,3527,7069,832,832,0,253,6967,23698,1333,13037
11,do07,Dominican Republic,2007,32847,118051,82583,3334,13125,7088,4107,2981,868,762,105,1652,3403,21523,3642,13125
12,do07,Dominican Republic,2007,36000,118532,72975,1266,11701,9276,4946,4330,274,238,36,896,3591,28640,1465,11701
13,do07,Dominican Republic,2007,37600,111648,74156,3218,14637,5535,3740,1795,558,558,0,1064,2127,24273,4876,14637
14,do07,Dominican Republic,2007,40066,120304,83035,4880,11893,9023,6509,2514,1599,1581,17,675,2527,27771,5298,11893
15,do07,Dominican Republic,2007,42265,139823,79118,2876,19018,15515,4082,11433,332,158,174,747,11342,25825,3007,19018
16,do07,Dominican Republic,2007,44124,116726,69776,1956,14707,11364,8010,3354,813,653,160,2862,3027,25986,1978,14707
17,do07,Dominican Republic,2007,46235,125650,80586,3999,13960,7695,2919,4775,425,262,163,340,2888,28969,4497,13960
18,do07,Dominican Republic,2007,48000,128855,80579,2745,16592,7013,3786,3227,609,565,44,392,3289,26907,2745,16592
19,do07,Dominican Republic,2007,50000,129666,82653,2739,13833,9504,4293,5211,805,345,460,143,2962,30613,2739,13833
20,do07,Dominican Republic,2007,52160,140270,90562,2733,14546,8589,5185,3403,938,474,464,1528,5136,24374,2733,14546
21,do07,Dominican Republic,2007,54240,118298,85602,4903,15249,6174,3849,2325,815,688,127,3022,1764,17906,5086,15249
22,do07,Dominican Republic,2007,56600,134234,86640,2857,18349,7454,4343,3111,728,658,70,2152,2952,25057,2857,18349
23,do07,Dominican Republic,2007,58368,139828,92033,2903,13728,7646,4033,3612,1315,1315,0,406,4107,26900,2903,13728
24,do07,Dominican Republic,2007,60000,129839,93070,3190,17291,8744,6214,2530,824,824,0,1022,2621,20601,3190,17291
25,do07,Dominican Republic,2007,61800,136721,96490,3045,17010,8072,5083,2989,494,494,0,1760,2363,28764,3140,17010
26,do07,Dominican Republic,2007,63980,148018,96621,3858,19108,8735,5398,3337,1414,1260,154,2308,4149,24339,3858,19108
27,do07,Dominican Republic,2007,65632,146113,94917,2826,16178,5195,2318,2877,1236,544,692,2457,2231,24160,2884,16178
28,do07,Dominican Republic,2007,67454,134624,93831,3393,15047,8766,6389,2377,336,336,0,2365,2984,22079,3393,15047
29,do07,Dominican Republic,2007,69686,154285,101630,4814,15769,12956,5892,7064,1929,924,1005,738,3161,30354,4814,15769
30,do07,Dominican Republic,2007,71988,161023,96683,4706,23429,15315,4542,10772,959,689,270,2655,3957,31236,4802,23429
31,do07,Dominican Republic,2007,73750,151847,115403,3863,15366,15475,10756,4719,1767,1669,98,973,4777,17999,3942,15366
32,do07,Dominican Republic,2007,75950,147588,99635,4138,15272,9196,7229,1967,964,546,417,2189,3744,21619,4138,15272
33,do07,Dominican Republic,2007,77700,160288,108151,3231,18909,10828,8048,2780,1226,1049,176,1348,2875,23975,3337,18909
34,do07,Dominican Republic,2007,79632,186705,124477,2917,18755,12490,5680,6810,1976,1976,0,2764,4221,26162,3012,18755
35,do07,Dominican Republic,2007,81750,169256,115785,3752,16815,12215,8218,3997,895,780,115,1197,5033,26880,3752,16815
36,do07,Dominican Republic,2007,84000,157420,116625,7968,21100,7490,5470,2020,1999,1769,230,2675,2547,27293,8754,21100
37,do07,Dominican Republic,2007,86200,192865,128312,4186,21364,7324,4159,3165,1486,1345,141,1409,2593,27575,4562,21364
38,do07,Dominican Republic,2007,88426,172711,113537,8177,19444,6991,4535,2456,778,778,0,3275,2973,23784,8177,19444
39,do07,Dominican Republic,2007,90700,186442,121987,3574,24211,11038,5609,5429,2652,2318,334,2829,2717,23578,3814,24211
40,do07,Dominican Republic,2007,93198,204030,143363,6774,19992,10509,7514,2995,2750,2483,266,2619,1773,29371,6774,19992
41,do07,Dominican Republic,2007,95960,181577,120527,4890,20175,12712,7591,5122,2337,2265,72,3336,5081,24680,4890,20175
42,do07,Dominican Republic,2007,98000,180012,124843,5550,20266,13142,9120,4021,1935,1853,82,2304,2007,29090,5676,20266
43,do07,Dominican Republic,2007,100200,217841,142229,5050,37984,19680,17613,2067,4511,4265,246,3724,1239,22418,5050,37984
44,do07,Dominican Republic,2007,102179,198115,140426,4035,22695,17302,11029,6274,1553,1410,143,2885,5714,24977,4035,22695
45,do07,Dominican Republic,2007,104960,208272,143760,6234,24101,15910,8727,7183,2714,1922,792,4196,7398,26680,6234,24101
46,do07,Dominican Republic,2007,107440,189007,138085,5211,23887,10680,7673,3007,1769,1312,458,2043,4224,24360,5211,23887
47,do07,Dominican Republic,2007,109680,204968,144366,6723,22740,12491,7793,4698,5107,5064,43,1429,1788,27217,6723,22740
48,do07,Dominican Republic,2007,112000,210108,149870,4377,25025,12386,8005,4381,2485,1767,719,4796,5791,28029,4377,25025
49,do07,Dominican Republic,2007,114788,190336,140435,6878,19590,10582,7235,3347,2985,2131,854,5254,4236,25079,6878,19590
50,do07,Dominican Republic,2007,117245,184890,124794,3979,21470,9773,6280,3494,2355,2010,345,5802,3208,29882,4075,21470
51,do07,Dominican Republic,2007,120300,237973,142797,6236,68968,9108,7596,1512,3678,3306,372,3927,1950,19568,6236,68968
52,do07,Dominican Republic,2007,123252,202418,151862,8871,20101,15034,11368,3666,3026,2883,143,3499,3180,25769,8871,20101
53,do07,Dominican Republic,2007,126112,202847,151471,7686,18360,11591,10164,1427,3390,2976,415,3590,3108,20110,7686,18360
54,do07,Dominican Republic,2007,129664,219184,163853,6765,23129,10277,6736,3541,2692,2490,203,2244,2982,24105,6765,23129
55,do07,Dominican Republic,2007,132336,205397,160453,7592,21883,9774,5957,3817,2331,2321,10,2716,2709,23554,7592,21883
56,do07,Dominican Republic,2007,135560,204583,154802,10836,22337,9602,5921,3681,1329,841,488,3997,3549,27365,10836,22337
57,do07,Dominican Republic,2007,138000,211775,162430,7652,23860,12756,9808,2948,4528,3669,859,3171,1257,30269,13124,23860
58,do07,Dominican Republic,2007,140900,247312,193034,5145,26386,25332,21905,3427,2778,2689,89,3419,3172,29576,5241,26386
59,do07,Dominican Republic,2007,143920,219320,174800,6421,19118,18017,17042,975,2953,2826,127,4223,1713,23506,6421,19118
60,do07,Dominican Republic,2007,147396,227886,145063,6095,27153,11401,5493,5908,2011,1947,64,5432,3497,42205,6095,27153
61,do07,Dominican Republic,2007,150600,232855,171254,6974,29946,10670,9338,1332,7259,7081,178,2646,2979,37750,7523,29946
62,do07,Dominican Republic,2007,154000,240791,173813,3984,24108,14667,9871,4796,6920,6473,446,5693,4840,28879,3984,24108
63,do07,Dominican Republic,2007,157543,271565,201495,16909,42200,14255,10663,3591,6073,5367,705,1975,4435,24469,16909,42200
64,do07,Dominican Republic,2007,160849,265640,192870,15176,25579,14068,8701,5367,4474,4321,153,3097,4118,34789,15176,25579
65,do07,Dominican Republic,2007,164982,247109,178777,9697,32809,13859,10348,3511,7117,5683,1434,3856,3274,32372,9985,32809
66,do07,Dominican Republic,2007,168796,215727,162194,9662,23643,8000,4011,3990,4045,2899,1145,3999,4668,40698,9662,23643
67,do07,Dominican Republic,2007,173280,242378,154498,4038,34901,18543,7394,11149,2845,2448,397,8807,5768,38256,4558,34901
68,do07,Dominican Republic,2007,178080,259228,191473,7575,27389,11849,10315,1535,3622,3401,221,9843,2679,25585,7575,27389
69,do07,Dominican Republic,2007,181000,267262,215546,13140,29064,18750,16257,2493,11660,10839,821,1069,2228,31952,13140,29064
70,do07,Dominican Republic,2007,186000,247401,200110,7702,32624,13570,11384,2186,4051,3467,585,4679,2024,22345,7702,32624
71,do07,Dominican Republic,2007,191932,241627,183576,8937,25697,19067,10170,8897,7247,6976,270,3261,4986,23704,8937,25697
72,do07,Dominican Republic,2007,197180,243563,179869,9763,32059,9777,7833,1944,4821,3093,1728,3032,1533,20348,9763,32059
73,do07,Dominican Republic,2007,202400,295543,234510,11610,28212,13934,10953,2981,6083,5857,226,4739,2450,23957,11610,28212
74,do07,Dominican Republic,2007,207896,309938,228553,9963,36304,18653,13044,5609,6321,5828,493,5461,1858,26530,9963,36304
75,do07,Dominican Republic,2007,213363,301094,244018,12941,30491,8433,7543,891,6411,5215,1196,4689,1675,22772,12941,30491
76,do07,Dominican Republic,2007,219800,312085,217236,6664,52170,21894,17595,4299,6851,5579,1272,935,1174,40107,7128,52170
77,do07,Dominican Republic,2007,227700,304193,232928,16623,41730,17284,12595,4689,9080,8405,676,6572,1731,31458,16623,41730
78,do07,Dominican Republic,2007,234144,325080,236699,8986,39630,14001,12153,1848,3774,3448,326,2524,1693,29197,9942,39630
79,do07,Dominican Republic,2007,241484,327661,234785,9454,38306,26074,24731,1343,9398,8483,914,3927,2101,31774,10295,38306
80,do07,Dominican Republic,2007,249960,333403,249827,8900,37201,22971,20983,1987,5667,5411,256,4313,2320,32985,8900,37201
81,do07,Dominican Republic,2007,257456,303751,263209,12052,31909,15558,10969,4589,8922,8412,510,6271,2379,58004,20094,31909
82,do07,Dominican Republic,2007,267100,335874,256707,14631,42580,14214,10282,3932,9789,8896,893,2192,1913,26311,14631,42580
83,do07,Dominican Republic,2007,277684,393686,284367,11927,40044,20954,15831,5123,12178,9082,3096,4598,2810,57328,11927,40044
84,do07,Dominican Republic,2007,287852,358016,267546,12729,41743,23267,20703,2564,6318,4659,1659,5239,2641,39124,12729,41743
85,do07,Dominican Republic,2007,302000,418998,310928,13351,46762,21357,17491,3866,7721,7622,99,2732,2235,30098,13351,46762
86,do07,Dominican Republic,2007,314200,411009,304917,10633,43629,14464,12768,1696,14954,13984,970,4872,1426,45704,13731,43629
87,do07,Dominican Republic,2007,327440,432495,343856,30581,47485,20021,15705,4316,12652,12502,150,3637,3908,94201,30581,47485
88,do07,Dominican Republic,2007,340816,384450,302966,15938,44799,13649,11037,2612,8994,8619,375,6329,1785,40364,15938,44799
89,do07,Dominican Republic,2007,355576,423187,333323,12392,51649,29706,25700,4006,11850,10120,1730,5892,2864,24655,15776,51649
90,do07,Dominican Republic,2007,374800,441557,367848,21082,38095,13533,9540,3993,16146,14651,1495,2927,1148,47626,21082,38095
91,do07,Dominican Republic,2007,397300,465804,362031,19759,57024,15113,12722,2391,19179,17964,1215,5180,1297,28039,19759,57024
92,do07,Dominican Republic,2007,422876,534261,406394,25691,84029,24140,20572,3568,24704,18248,6456,3937,945,63864,25691,84029
93,do07,Dominican Republic,2007,455144,604884,494073,14634,58252,28763,25496,3267,25770,25727,43,6067,716,37308,14634,58252
94,do07,Dominican Republic,2007,495280,484109,425857,21758,66715,27057,24014,3043,15149,13874,1275,2254,1636,41844,21758,66715
95,do07,Dominican Republic,2007,547932,639922,511560,26423,70334,26724,22600,4124,22816,21496,1320,6900,1025,37585,26423,70334
96,do07,Dominican Republic,2007,615948,806668,541023,18650,97533,35629,28963,6666,24055,21332,2723,5544,8415,52499,23872,97533
97,do07,Dominican Republic,2007,707672,682693,590860,25827,129476,44963,42321,2642,26446,21932,4514,2521,4390,45434,26271,129476
98,do07,Dominican Republic,2007,853400,868019,718221,46261,124236,26962,24221,2742,40402,40395,7,467,622,35049,46261,124236
99,do07,Dominican Republic,2007,1157100,1116664,890848,52230,143470,38635,36847,1787,67476,62146,5330,29757,397,77258,52230,143470
100,do07,Dominican Republic,2007,.,1545411,1363251,25875,196555,55627,51123,4504,57753,57036,717,41089,2469,204439,51162,196555
1,fr05,France,2005,4000,17732,14663,.,3069,645,645,.,603,603,.,.,.,.,.,3069
2,fr05,France,2005,6028,12285,9827,.,2458,354,354,.,155,155,.,.,.,.,.,2458
3,fr05,France,2005,7150,14290,12359,.,1932,624,624,.,86,86,.,.,.,.,.,1932
4,fr05,France,2005,7974,10845,8581,.,2264,343,343,.,4,4,.,.,.,.,.,2264
5,fr05,France,2005,8743.5,12000,9748,.,2252,396,396,.,23,23,.,.,.,.,.,2252
6,fr05,France,2005,9331,11835,9836,.,1999,225,225,.,31,31,.,.,.,.,.,1999
7,fr05,France,2005,9919,12235,9519,.,2717,735,735,.,57,57,.,.,.,.,.,2717
8,fr05,France,2005,10488,12674,10910,.,1763,521,521,.,54,54,.,.,.,.,.,1763
9,fr05,France,2005,10927,12419,10079,.,2340,503,503,.,57,57,.,.,.,.,.,2340
10,fr05,France,2005,11437,13603,11346,.,2257,609,609,.,92,92,.,.,.,.,.,2257
11,fr05,France,2005,11859,14201,12180,.,2022,463,463,.,175,175,.,.,.,.,.,2022
12,fr05,France,2005,12304,14224,12127,.,2097,692,692,.,242,242,.,.,.,.,.,2097
13,fr05,France,2005,12693,14435,12178,.,2257,535,535,.,123,123,.,.,.,.,.,2257
14,fr05,France,2005,13151,15763,14355,.,1408,521,521,.,146,146,.,.,.,.,.,1408
15,fr05,France,2005,13590,14840,12933,.,1907,535,535,.,68,68,.,.,.,.,.,1907
16,fr05,France,2005,13966,16674,14411,.,2263,675,675,.,33,33,.,.,.,.,.,2263
17,fr05,France,2005,14317,16768,14580,.,2189,458,458,.,78,78,.,.,.,.,.,2189
18,fr05,France,2005,14684,16277,14261,.,2016,370,370,.,34,34,.,.,.,.,.,2016
19,fr05,France,2005,15032,14297,11818,.,2479,333,333,.,57,57,.,.,.,.,.,2479
20,fr05,France,2005,15435,14987,12610,.,2377,840,840,.,109,109,.,.,.,.,.,2377
21,fr05,France,2005,15744,17072,15189,.,1883,447,447,.,15,15,.,.,.,.,.,1883
22,fr05,France,2005,16111,15901,13799,.,2102,457,457,.,12,12,.,.,.,.,.,2102
23,fr05,France,2005,16469,18129,16129,.,2000,504,504,.,28,28,.,.,.,.,.,2000
24,fr05,France,2005,16802,17090,14328,.,2762,674,674,.,45,45,.,.,.,.,.,2762
25,fr05,France,2005,17171.5,17876,15380,.,2496,405,405,.,52,52,.,.,.,.,.,2496
26,fr05,France,2005,17492,16986,14496,.,2489,678,678,.,19,19,.,.,.,.,.,2489
27,fr05,France,2005,17934,16270,13702,.,2568,818,818,.,8,8,.,.,.,.,.,2568
28,fr05,France,2005,18283,17745,14944,.,2801,837,837,.,67,67,.,.,.,.,.,2801
29,fr05,France,2005,18633,19480,17170,.,2311,533,533,.,81,81,.,.,.,.,.,2311
30,fr05,France,2005,19011.5,19071,16659,.,2412,938,938,.,80,80,.,.,.,.,.,2412
31,fr05,France,2005,19360,17179,14255,.,2923,518,518,.,53,53,.,.,.,.,.,2923
32,fr05,France,2005,19749,19146,16111,.,3034,486,486,.,27,27,.,.,.,.,.,3034
33,fr05,France,2005,20143,21414,18598,.,2815,1057,1057,.,39,39,.,.,.,.,.,2815
34,fr05,France,2005,20447,22036,19438,.,2598,534,534,.,223,223,.,.,.,.,.,2598
35,fr05,France,2005,20930,19632,17123,.,2509,635,635,.,39,39,.,.,.,.,.,2509
36,fr05,France,2005,21291,19577,16681,.,2896,501,501,.,46,46,.,.,.,.,.,2896
37,fr05,France,2005,21660,22358,19321,.,3037,620,620,.,226,226,.,.,.,.,.,3037
38,fr05,France,2005,22110,20446,17258,.,3187,710,710,.,148,148,.,.,.,.,.,3187
39,fr05,France,2005,22453,21586,18546,.,3040,424,424,.,64,64,.,.,.,.,.,3040
40,fr05,France,2005,22808,24079,20883,.,3196,726,726,.,82,82,.,.,.,.,.,3196
41,fr05,France,2005,23201,22586,20043,.,2543,626,626,.,69,69,.,.,.,.,.,2543
42,fr05,France,2005,23612,21999,18492,.,3507,501,501,.,41,41,.,.,.,.,.,3507
43,fr05,France,2005,24067,22656,19836,.,2821,793,793,.,50,50,.,.,.,.,.,2821
44,fr05,France,2005,24487,23579,20299,.,3279,1139,1139,.,40,40,.,.,.,.,.,3279
45,fr05,France,2005,24901,22510,19234,.,3276,1412,1412,.,82,82,.,.,.,.,.,3276
46,fr05,France,2005,25324,23862,20668,.,3194,539,539,.,45,45,.,.,.,.,.,3194
