quantile, percentile, hc, ccyy
7, 17482, 39172.571, mx10
8, 19048, 39827.812, mx10
9, 20648, 38865.927, mx10
10, 22076, 42840.181, mx10
11, 23612, 40507.791, mx10
12, 24760, 47246.406, mx10
13, 26274, 43752.709, mx10
14, 27871, 44088.211, mx10
15, 29169, 45065.603, mx10
16, 30472, 49967.877, mx10
17, 31798, 47520.097, mx10
18, 32988, 50030.397, mx10
19, 34154, 51916.779, mx10
20, 35589.5, 50549.83, mx10
21, 36719, 54091.711, mx10
22, 38181, 53353.22, mx10
23, 39405, 54163.325, mx10
24, 40671, 53750.482, mx10
25, 41901, 53546.123, mx10
26, 43312, 56350.282, mx10
27, 44552, 57908.257, mx10
28, 45773, 59241.498, mx10
29, 47084, 58954.876, mx10
30, 48358, 61651.04, mx10
31, 49603, 61846.752, mx10
32, 50818, 62399.572, mx10
33, 52124, 63192.738, mx10
34, 53537, 65983.701, mx10
35, 54929, 64753.134, mx10
36, 56353, 67738.014, mx10
37, 57757, 66646.554, mx10
38, 59028, 65903.436, mx10
39, 60321, 71108.841, mx10
40, 61702, 76416.419, mx10
41, 63154, 73481.953, mx10
42, 64575, 74527.622, mx10
43, 66082, 75394.741, mx10
44, 67684, 75764.614, mx10
45, 69352, 77392.714, mx10
46, 70836, 75345.188, mx10
47, 72401, 83329.671, mx10
48, 73800, 81264.802, mx10
49, 75435, 80482.139, mx10
50, 77120, 86150.119, mx10
51, 78640, 83222.817, mx10
52, 80471, 85910.069, mx10
53, 82168, 86745.62, mx10
54, 83991, 87112.199, mx10
55, 85829, 91028.466, mx10
56, 87814, 89492.522, mx10
57, 89641, 87232.688, mx10
58, 91593, 92753.899, mx10
59, 93529, 95020.047, mx10
60, 95856, 96399.529, mx10
61, 97532, 99561.556, mx10
62, 99776, 102931.71, mx10
63, 102232, 105246.64, mx10
64, 104540, 103906.35, mx10
65, 107090, 106306.71, mx10
66, 109208, 103832.47, mx10
67, 111904, 110986.37, mx10
68, 114555, 105557.07, mx10
69, 117536, 111311.62, mx10
70, 120326, 116947.61, mx10
71, 123085, 121694.34, mx10
