quantile, percentile, educ_rate, ccyy
92, 327432, .04072489, il10
93, 342974, .05724981, il10
94, 360657, .0548896, il10
95, 380732, .04668425, il10
96, 406982, .04360601, il10
97, 443280, .0373323, il10
98, 495599, .04145521, il10
99, 580921, .03844138, il10
100, ., .05365776, il10
1, 2154, .0384209, mx10
2, 7174, .01892968, mx10
3, 9860, .01639714, mx10
4, 12038, .02142134, mx10
5, 13863, .0242049, mx10
6, 15728, .02996163, mx10
7, 17482, .02700372, mx10
8, 19048, .03237741, mx10
9, 20648, .02951347, mx10
10, 22076, .02859521, mx10
11, 23612, .03399813, mx10
12, 24760, .02423838, mx10
13, 26274, .02795285, mx10
14, 27871, .03094937, mx10
15, 29169, .03126315, mx10
16, 30472, .02859045, mx10
17, 31798, .03665064, mx10
18, 32988, .03422815, mx10
19, 34154, .03474098, mx10
20, 35589.5, .03634639, mx10
21, 36719, .03921818, mx10
22, 38181, .03911674, mx10
23, 39405, .03746115, mx10
24, 40671, .03388268, mx10
25, 41901, .04012617, mx10
26, 43312, .04234837, mx10
27, 44552, .03450738, mx10
28, 45773, .03593443, mx10
29, 47084, .03339482, mx10
30, 48358, .04182445, mx10
31, 49603, .04163701, mx10
32, 50818, .04938388, mx10
33, 52124, .03959277, mx10
34, 53537, .04458466, mx10
35, 54929, .03739789, mx10
36, 56353, .04306602, mx10
37, 57757, .04223132, mx10
38, 59028, .04595035, mx10
39, 60321, .04333167, mx10
40, 61702, .05234034, mx10
41, 63154, .05288188, mx10
42, 64575, .05170227, mx10
43, 66082, .04343203, mx10
44, 67684, .0433413, mx10
45, 69352, .04761014, mx10
46, 70836, .05165434, mx10
47, 72401, .05651783, mx10
48, 73800, .05266602, mx10
49, 75435, .05673078, mx10
50, 77120, .05514736, mx10
51, 78640, .05394253, mx10
52, 80471, .06101619, mx10
53, 82168, .05557046, mx10
54, 83991, .04986384, mx10
55, 85829, .05349519, mx10
56, 87814, .04333839, mx10
57, 89641, .05583796, mx10
58, 91593, .04831042, mx10
59, 93529, .05095003, mx10
60, 95856, .05711062, mx10
61, 97532, .04976894, mx10
62, 99776, .05918661, mx10
63, 102232, .04878605, mx10
64, 104540, .06202145, mx10
65, 107090, .06251211, mx10
66, 109208, .05239498, mx10
67, 111904, .07039219, mx10
68, 114555, .05534572, mx10
69, 117536, .05621497, mx10
70, 120326, .06044425, mx10
71, 123085, .05005336, mx10
72, 126143, .0575195, mx10
73, 129453, .06447168, mx10
74, 133082, .05617592, mx10
75, 136824, .06580539, mx10
76, 141148, .0787684, mx10
77, 145181, .06419455, mx10
78, 149589, .05666252, mx10
79, 153851, .06404357, mx10
80, 158499.5, .07932245, mx10
81, 163443, .05805535, mx10
82, 168974, .07133169, mx10
83, 175877, .06904679, mx10
84, 182081, .07381152, mx10
85, 189078, .0760422, mx10
86, 196321, .06986528, mx10
87, 204806, .06357194, mx10
88, 213536, .06802598, mx10
89, 223659, .07301638, mx10
90, 233915, .0798227, mx10
91, 247009, .06625686, mx10
92, 261930, .07402238, mx10
93, 282527, .08523645, mx10
94, 302561, .0738135, mx10
95, 330336, .07478885, mx10
96, 367211, .10321532, mx10
97, 414122, .09881343, mx10
98, 490332, .09507472, mx10
99, 643827, .08688865, mx10
100, ., .08780727, mx10
1, -91, .02875912, pe10
2, 94, .0187259, pe10
3, 290, .0120409, pe10
4, 496, .01191757, pe10
5, 674, .01196543, pe10
6, 884, .01528072, pe10
7, 1115, .01606572, pe10
8, 1311, .01788238, pe10
9, 1513, .01776204, pe10
10, 1715, .0285261, pe10
11, 1909, .02417886, pe10
12, 2139, .0341771, pe10
13, 2370, .03274035, pe10
14, 2573, .02736777, pe10
15, 2784, .03212758, pe10
16, 3018, .03536547, pe10
17, 3251, .03428998, pe10
18, 3507, .03199944, pe10
19, 3756, .02971215, pe10
20, 3999, .03593859, pe10
21, 4232, .03144083, pe10
22, 4497, .03263673, pe10
23, 4764, .03145545, pe10
24, 5013, .03641836, pe10
25, 5264.5, .03552863, pe10
26, 5515, .03019512, pe10
27, 5812, .03487926, pe10
28, 6102, .0309074, pe10
29, 6386, .030815, pe10
30, 6681, .03842257, pe10
31, 7013, .03704826, pe10
32, 7292, .03888473, pe10
33, 7572, .03801272, pe10
34, 7870, .04117371, pe10
35, 8176, .03689864, pe10
36, 8455, .03871288, pe10
37, 8783, .03842013, pe10
38, 9065, .03876018, pe10
39, 9418, .03896958, pe10
40, 9684, .03228935, pe10
41, 10004, .03877231, pe10
42, 10293, .03661022, pe10
43, 10602, .03803268, pe10
44, 10926, .03534945, pe10
45, 11225, .03555299, pe10
46, 11574, .03908332, pe10
47, 11927, .04180105, pe10
48, 12303, .03893005, pe10
49, 12607, .04364059, pe10
50, 12918, .03566795, pe10
51, 13272, .03972092, pe10
52, 13578, .03867822, pe10
53, 13946, .04564629, pe10
54, 14274, .04578741, pe10
55, 14657, .0465857, pe10
56, 15048, .04196698, pe10
57, 15465, .04604763, pe10
58, 15825, .0401214, pe10
59, 16228, .04908, pe10
60, 16673, .04478183, pe10
61, 17184, .05010822, pe10
62, 17664, .04558598, pe10
63, 18132, .04831181, pe10
64, 18564, .03982056, pe10
65, 19067, .04775328, pe10
66, 19555, .04287084, pe10
67, 20103, .04901448, pe10
68, 20589, .04931161, pe10
69, 21115, .04970681, pe10
70, 21622, .04936687, pe10
71, 22192, .04364128, pe10
72, 22793, .04817244, pe10
73, 23427, .04412658, pe10
74, 24015, .04617692, pe10
75, 24689.5, .04852885, pe10
76, 25358, .05356353, pe10
77, 26002, .05241173, pe10
78, 26971, .0512527, pe10
79, 27819, .05429075, pe10
80, 28716, .05789729, pe10
81, 29663, .05019552, pe10
82, 30595, .05073904, pe10
83, 31762, .05467405, pe10
84, 32897, .05345982, pe10
85, 34082, .05059055, pe10
86, 35428, .0491648, pe10
