quantile, ccyy, threshold, hc, hnceduc, hceduc, hmceduc, hcmed, hcbgiftg, hncbgiftg
60, fr10, 32260, 35445.542, 0, 77.299363, 77.299363, 442.07643, 0, 0
61, fr10, 32786, 35351.568, 0, 75.234177, 75.234177, 471.39873, 0, 0
62, fr10, 33389, 35641.313, 0, 88.088608, 88.088608, 490.53165, 13.291139, 13.291139
63, fr10, 34021, 34696.638, 0, 79.335443, 79.335443, 519.37975, 0, 0
64, fr10, 34651, 35004.417, 0, 58.335443, 58.335443, 455.89873, 0, 0
65, fr10, 35199, 37278.424, 0, 196.2327, 196.2327, 511.97484, 0, 0
66, fr10, 35860, 35175.37, 38.216561, 121.14013, 82.923567, 571.55414, 0, 0
67, fr10, 36516, 37190.351, 5.7324841, 194.64968, 188.9172, 555.50318, 0, 0
68, fr10, 37200, 38475.639, 0, 182.89241, 182.89241, 533.06962, 0, 0
69, fr10, 38001, 39728.205, 0, 265.92405, 265.92405, 684.12025, 0, 0
70, fr10, 38668, 37506.697, 0, 98.647799, 98.647799, 461.76101, 0, 0
71, fr10, 39307, 35831.69, 38.216561, 220.11465, 181.89809, 551.82803, 0, 0
72, fr10, 39969, 38205.622, 0, 154.3038, 154.3038, 456.13924, 0, 0
73, fr10, 40688, 39064.442, 0, 192.1962, 192.1962, 437.35443, 0, 0
74, fr10, 41350, 41100.925, 37.974684, 171.03797, 133.06329, 495.13291, 0, 0
75, fr10, 41995, 40990.708, 0, 452.12025, 452.12025, 644.24051, 0, 0
76, fr10, 42753, 40059.967, 18.987342, 274.22152, 255.23418, 589.13924, 18.987342, 18.987342
77, fr10, 43640, 40475.895, 0, 92.563291, 92.563291, 490.89873, 0, 0
78, fr10, 44502, 42377.803, 227.8481, 391.36076, 163.51266, 587.53797, 0, 0
79, fr10, 45184, 43469.338, 0, 112.96203, 112.96203, 610.32911, 0, 0
80, fr10, 46055, 43589.801, 0, 80.240506, 80.240506, 623.8481, 0, 0
81, fr10, 47035, 42350.026, 0, 91.320755, 91.320755, 627.93082, 0, 0
82, fr10, 48202, 43290.058, 0, 114.02548, 114.02548, 533.09554, 0, 0
83, fr10, 49183, 45033.163, 0, 196.40506, 196.40506, 595.60127, 0, 0
84, fr10, 50416, 47237.548, 0, 249.94304, 249.94304, 543.1519, 0, 0
85, fr10, 51603, 49475.517, 0, 311.74214, 311.74214, 557.90566, 0, 0
86, fr10, 52923, 47881.306, 0, 346.79874, 346.79874, 698.79245, 1.8867925, 1.8867925
87, fr10, 54217, 47801.178, 5.7692308, 435.53205, 429.76282, 593.26923, 0, 0
88, fr10, 55682, 48867.487, 0, 196.1519, 196.1519, 677.37342, 0, 0
89, fr10, 57652, 53725.128, 0, 278.46203, 278.46203, 660.29747, 0, 0
90, fr10, 59209, 52156.167, 0, 272.53165, 272.53165, 555.84177, 0, 0
91, fr10, 61200, 52050.124, 0, 270.86076, 270.86076, 788.87975, 0, 0
92, fr10, 63961, 52847.565, 0, 238.28931, 238.28931, 724.67925, 0, 0
93, fr10, 66438, 58715.422, 0, 228.8535, 228.8535, 782.26752, 0, 0
94, fr10, 69394, 54813.168, 189.87342, 825.68987, 635.81646, 657.02532, 0, 0
95, fr10, 73985, 57730.154, 227.8481, 927.27215, 699.42405, 782.62025, 0, 0
96, fr10, 79173, 62131.123, 0, 797.86076, 797.86076, 685.88608, 0, 0
97, fr10, 85362, 63087.548, 0, 510.1962, 510.1962, 796.66456, 0, 0
98, fr10, 96091, 71148.057, 0, 536.51899, 536.51899, 922.05063, 0, 0
99, fr10, 114128, 74631.401, 0, 668.29114, 668.29114, 924.24051, 0, 0
100, fr10, ., 85575.801, 1.910828, 1178.9363, 1177.0255, 939.41401, 0, 0
1, mx10, 2154, 88818.39, 0, 5348.722, 5348.722, 3373.6823, ., .
2, mx10, 7174, 40645.191, 0, 1455.4477, 1455.4477, 1063.9892, ., .
3, mx10, 9860, 38021.377, 0, 850.42754, 850.42754, 801.35507, ., .
4, mx10, 12038, 35433.534, 0, 1114.6354, 1114.6354, 731.96029, ., .
5, mx10, 13863, 34472.982, 0, 1217.4384, 1217.4384, 650.55435, ., .
6, mx10, 15728, 42628.295, 5.1798561, 3151.0899, 3145.9101, 979.91367, ., .
7, mx10, 17482, 39172.571, 0, 1417.8473, 1417.8473, 602.96, ., .
8, mx10, 19048, 39827.812, 0, 1785.6101, 1785.6101, 666.15523, ., .
9, mx10, 20648, 38865.927, 0, 1679.9529, 1679.9529, 833.11594, ., .
10, mx10, 22076, 42840.181, 0, 2266.4729, 2266.4729, 776.65704, ., .
11, mx10, 23612, 40507.791, 0, 1796.2816, 1796.2816, 826.93502, ., .
12, mx10, 24760, 47246.406, 0, 1748.0797, 1748.0797, 521.13406, ., .
13, mx10, 26274, 43752.709, 0, 1659.6547, 1659.6547, 1530.3957, ., .
14, mx10, 27871, 44088.211, 0, 1749.7018, 1749.7018, 1195.1927, ., .
15, mx10, 29169, 45065.603, 0, 1768.9458, 1768.9458, 1262.0325, ., .
16, mx10, 30472, 49967.877, 0, 1831.1594, 1831.1594, 1215.6123, ., .
17, mx10, 31798, 47520.097, 0, 2120.5668, 2120.5668, 772.91336, ., .
18, mx10, 32988, 50030.397, 0, 1991.5054, 1991.5054, 890.59206, ., .
19, mx10, 34154, 51916.779, 0, 2237.971, 2237.971, 786.03986, ., .
20, mx10, 35589.5, 50549.83, 0, 2124.5978, 2124.5978, 785.97826, ., .
21, mx10, 36719, 54091.711, 0, 2669.6895, 2669.6895, 929.58123, ., .
22, mx10, 38181, 53353.22, 0, 2730.4874, 2730.4874, 603.15162, ., .
23, mx10, 39405, 54163.325, 0, 2354.509, 2354.509, 876.10469, ., .
24, mx10, 40671, 53750.482, 0, 2317.8442, 2317.8442, 744.97826, ., .
25, mx10, 41901, 53546.123, 0, 2421.3297, 2421.3297, 1250.2065, ., .
26, mx10, 43312, 56350.282, 0, 2830.6101, 2830.6101, 781.81588, ., .
27, mx10, 44552, 57908.257, 0, 2552.7826, 2552.7826, 989.59783, ., .
28, mx10, 45773, 59241.498, 0, 2445.8087, 2445.8087, 1206.4079, ., .
29, mx10, 47084, 58954.876, 0, 2536.3986, 2536.3986, 510.77899, ., .
30, mx10, 48358, 61651.04, 0, 3224.6101, 3224.6101, 1154.9603, ., .
31, mx10, 49603, 61846.752, 0, 3041.5284, 3041.5284, 1114.3333, ., .
32, mx10, 50818, 62399.572, 0, 3788.8081, 3788.8081, 1008.8339, ., .
33, mx10, 52124, 63192.738, 1.4444444, 2998.1505, 2996.7061, 809.84946, ., .
34, mx10, 53537, 65983.701, 0, 3821.9891, 3821.9891, 942.41971, ., .
35, mx10, 54929, 64753.134, 8.2093863, 2764.4693, 2756.2563, 1357.7942, ., .
36, mx10, 56353, 67738.014, 3.6521739, 3594.442, 3590.7899, 1484.7101, ., .
37, mx10, 57757, 66646.554, 12.821429, 3075.5179, 3062.6964, 942.92857, ., .
38, mx10, 59028, 65903.436, 0, 3316.5971, 3316.5971, 1174.1758, ., .
39, mx10, 60321, 71108.841, 0, 3787.3357, 3787.3357, 1560.6282, ., .
40, mx10, 61702, 76416.419, 0, 5014.6691, 5014.6691, 1240.7626, ., .
41, mx10, 63154, 73481.953, 0, 4332.3309, 4332.3309, 820.51799, ., .
42, mx10, 64575, 74527.622, 0, 4521, 4521, 1410.5345, ., .
43, mx10, 66082, 75394.741, 52.792727, 3979.32, 3926.5236, 1964.6473, ., .
44, mx10, 67684, 75764.614, 0, 4201.5668, 4201.5668, 1132.7076, ., .
45, mx10, 69352, 77392.714, 0, 4372.9711, 4372.9711, 1351.065, ., .
46, mx10, 70836, 75345.188, 0, 4519.6196, 4519.6196, 1071.4565, ., .
47, mx10, 72401, 83329.671, 0, 5708.8989, 5708.8989, 1657.8845, ., .
48, mx10, 73800, 81264.802, 38.956835, 5624.705, 5585.7518, 1670.7842, ., .
49, mx10, 75435, 80482.139, 0, 5683.3467, 5683.3467, 2123.8942, ., .
50, mx10, 77120, 86150.119, 0, 5850.4079, 5850.4079, 1710.9603, ., .
51, mx10, 78640, 83222.817, 0, 5264.9173, 5264.9173, 1070.5288, ., .
52, mx10, 80471, 85910.069, 0, 6412.5964, 6412.5964, 1636.7855, ., .
53, mx10, 82168, 86745.62, 0, 5422.3069, 5422.3069, 1923.065, ., .
54, mx10, 83991, 87112.199, 0, 5197.2246, 5197.2246, 1510.663, ., .
55, mx10, 85829, 91028.466, 0, 5651.6426, 5651.6426, 1052.8953, ., .
56, mx10, 87814, 89492.522, 0, 4557.917, 4557.917, 1482.639, ., .
57, mx10, 89641, 87232.688, 0, 5600.1522, 5600.1522, 1555.6812, ., .
58, mx10, 91593, 92753.899, 0, 5504.4384, 5504.4384, 1739.2101, ., .
59, mx10, 93529, 95020.047, 0, 5466.3935, 5466.3935, 1601.361, ., .
60, mx10, 95856, 96399.529, 17.438406, 6266.5906, 6249.1522, 1425.4928, ., .
61, mx10, 97532, 99561.556, 0, 5718.4188, 5718.4188, 1584.9928, ., .
62, mx10, 99776, 102931.71, 0, 6465.2708, 6465.2708, 1310.5884, ., .
63, mx10, 102232, 105246.64, 0, 5432.0325, 5432.0325, 1544.8592, ., .
64, mx10, 104540, 103906.35, 0, 7377.0761, 7377.0761, 2136.2935, ., .
65, mx10, 107090, 106306.71, 0, 7365.7572, 7365.7572, 1946.5217, ., .
66, mx10, 109208, 103832.47, 0, 6187.509, 6187.509, 1427.4477, ., .
67, mx10, 111904, 110986.37, 0, 9293.6667, 9293.6667, 2119.9391, ., .
68, mx10, 114555, 105557.07, 0, 7082.5766, 7082.5766, 1753.8686, ., .
69, mx10, 117536, 111311.62, 0, 7643.7862, 7643.7862, 1548.7681, ., .
70, mx10, 120326, 116947.61, 33.607639, 7858.6806, 7825.0764, 2633.875, ., .
71, mx10, 123085, 121694.34, 36.142857, 6375.1391, 6338.9962, 3401.6203, ., .
72, mx10, 126143, 120772.84, 0, 7703.4891, 7703.4891, 2700.2645, ., .
73, mx10, 129453, 123429.32, 0, 9544.121, 9544.121, 2742.1246, ., .
74, mx10, 133082, 118889.2, 0, 7958.3636, 7958.3636, 1898.0727, ., .
75, mx10, 136824, 124244.69, 34.912409, 9149.7993, 9114.8869, 3575.0182, ., .
76, mx10, 141148, 131780.68, 51.445652, 12452.779, 12401.333, 1840.1196, ., .
77, mx10, 145181, 139591.59, 34.765957, 11374, 11339.238, 3762.156, ., .
78, mx10, 149589, 135537.08, 33.081181, 8943.9004, 8910.8229, 3917.9446, ., .
79, mx10, 153851, 131174.95, 32.956989, 9323.4767, 9290.5161, 2560.2724, ., .
80, mx10, 158499.5, 145028.68, 4.3905109, 13663.92, 13659.529, 2548.2701, ., .
81, mx10, 163443, 140467.36, 9.1834532, 9509.8669, 9500.6835, 2366.8561, ., .
82, mx10, 168974, 142043.09, 32.554348, 12529.707, 12497.152, 2598.029, ., .
83, mx10, 175877, 152586.76, 8.6389892, 12667.058, 12658.419, 3538.7437, ., .
84, mx10, 182081, 164973.61, 24.617329, 14323.065, 14298.448, 2981.3971, ., .
85, mx10, 189078, 156949.52, 109.98909, 13430.996, 13321.007, 4314.1309, ., .
86, mx10, 196321, 171710.04, 10.732852, 13845.473, 13834.736, 7025.1769, ., .
87, mx10, 204806, 166921.52, 0, 12931.964, 12931.964, 5044.8659, ., .
88, mx10, 213536, 173440.52, 0, 13869.029, 13869.029, 4355.7256, ., .
89, mx10, 223659, 186289.5, 158.82971, 16250.13, 16091.301, 4146.6268, ., .
90, mx10, 233915, 187221.82, 0, 17708.632, 17708.632, 4520.6462, ., .
91, mx10, 247009, 196886.16, .5198556, 16273.585, 16273.065, 3823.0686, ., .
92, mx10, 261930, 208494.64, 182.69565, 18615.116, 18432.417, 4658.3225, ., .
93, mx10, 282527, 217751.84, 103.68592, 22900.679, 22796.993, 5397.6859, ., .
94, mx10, 302561, 224928.89, 0, 19780.953, 19780.953, 5366.1087, ., .
95, mx10, 330336, 246613.29, 68.429603, 21471.762, 21403.336, 7270.6787, ., .
96, mx10, 367211, 252868.74, 0, 32910.641, 32910.641, 7249.2464, ., .
97, mx10, 414122, 299477.74, 407.72202, 35195.256, 34787.538, 8314.6137, ., .
98, mx10, 490332, 324158.76, 6.576087, 36878.283, 36871.707, 8544.087, ., .
99, mx10, 643827, 389095.68, 1358.1697, 41051.238, 39693.069, 12055.318, ., .
100, mx10, ., 605377.06, 1307.9167, 68086.721, 66778.804, 25280.703, ., .
1, pe10, -91, 13368.685, 116.68545, 529.35681, 412.67136, 1197.1972, 374.42723, 374.42723
2, pe10, 94, 12721.056, 42.633803, 547.05634, 504.42254, 815.98122, 44.859155, 44.859155
3, pe10, 290, 6313.9005, 45.407583, 186.98104, 141.57346, 272.92417, 86.853081, 86.853081
4, pe10, 496, 5454.2991, 49.439252, 122.49065, 73.051402, 338.71028, 125.30374, 125.30374
5, pe10, 674, 6242.7109, 34.279621, 180.15166, 145.87204, 452.08057, 141.36493, 141.36493
6, pe10, 884, 6069.7196, 42.504673, 185.85514, 143.35047, 434.50935, 163.39252, 163.39252
7, pe10, 1115, 6180.2524, 57.233333, 153.46667, 96.233333, 507.55714, 148.18095, 148.18095
8, pe10, 1311, 6786.7535, 101.14419, 236.13023, 134.9907, 373.31163, 228.9907, 228.9907
9, pe10, 1513, 6497.1462, 56.179245, 155.5, 99.320755, 423.37736, 217.58962, 217.58962
10, pe10, 1715, 7665.9333, 99.566667, 275.90476, 176.3381, 595.8381, 294.18571, 294.18571
11, pe10, 1909, 6796.9061, 86.41784, 177.47887, 91.061033, 429.94836, 279.42723, 279.42723
12, pe10, 2139, 7430.3538, 129.96698, 271.98113, 142.01415, 439.83491, 370.08962, 370.08962
13, pe10, 2370, 7472.1028, 126.43925, 279.3972, 152.95794, 498.16822, 394.22897, 394.22897
14, pe10, 2573, 7770.3412, 114.45972, 228.19431, 113.7346, 527.76303, 322.70616, 322.70616
15, pe10, 2784, 8510.684, 132.49057, 300.18396, 167.6934, 463.35377, 400.65566, 400.65566
16, pe10, 3018, 9702.9906, 130.70755, 426.60849, 295.90094, 833.63679, 433.63208, 433.63208
17, pe10, 3251, 8809.717, 156.10849, 337.13208, 181.02358, 562.88208, 457.2783, 457.2783
18, pe10, 3507, 8952.9155, 131.13615, 326.4554, 195.31925, 579.82629, 442.21596, 442.21596
19, pe10, 3756, 9579.2535, 148.46948, 301.44131, 152.97183, 756.82629, 449.15023, 449.15023
20, pe10, 3999, 9232.3803, 166.53521, 370.56808, 204.03756, 603.40376, 534.57277, 534.57277
21, pe10, 4232, 9792.3555, 133.62559, 319.3128, 185.6872, 768.92417, 562.58294, 562.58294
22, pe10, 4497, 10379.835, 131.29717, 363.84906, 232.55189, 705.82075, 482.60377, 482.60377
23, pe10, 4764, 9189.2347, 123.61972, 314.74178, 191.12207, 476.66667, 428.98122, 428.98122
24, pe10, 5013, 11007.552, 202.78774, 441.82075, 239.03302, 775.57075, 496.43396, 496.43396
25, pe10, 5264.5, 10556.123, 155.86256, 393.41232, 237.54976, 690.24171, 512.72986, 512.72986
26, pe10, 5515, 11171.601, 143.38498, 369.11737, 225.73239, 814.99531, 478.4507, 478.4507
27, pe10, 5812, 11644.703, 167.81604, 434.23113, 266.41509, 862.09906, 566.81604, 566.81604
28, pe10, 6102, 11766.788, 134.41509, 381.46226, 247.04717, 946.54245, 429.33491, 429.33491
29, pe10, 6386, 11175.252, 117.5514, 333.10748, 215.55607, 848.42991, 433.25234, 433.25234
30, pe10, 6681, 11920.635, 159.891, 505.81043, 345.91943, 825.94313, 434.94787, 434.94787
31, pe10, 7013, 11852.58, 198.41038, 489.75943, 291.34906, 795.01887, 488.79245, 488.79245
32, pe10, 7292, 12932.248, 176.16822, 604.40654, 428.23832, 1006.6028, 556.53738, 556.53738
33, pe10, 7572, 12455.829, 218.83886, 494.24171, 275.40284, 828.47867, 510.22749, 510.22749
34, pe10, 7870, 12681.453, 219.52336, 546.44393, 326.92056, 808.76636, 579.33178, 579.33178
35, pe10, 8176, 12534.19, 205.98578, 499.29384, 293.30806, 790.99052, 535.75355, 535.75355
36, pe10, 8455, 13581.236, 255.27358, 586.49528, 331.2217, 995.94811, 465.06132, 465.06132
37, pe10, 8783, 13658.533, 218.21226, 568.22642, 350.01415, 829.04245, 506.56604, 506.56604
38, pe10, 9065, 14191.566, 154.48113, 579.25, 424.77358, 940.08491, 509.89151, 509.89151
39, pe10, 9418, 14821.142, 193.63679, 653.46226, 459.82547, 1102.0519, 577.33019, 577.33019
40, pe10, 9684, 14593.135, 181.52093, 491.46512, 309.94419, 1222.3023, 606.17209, 606.17209
41, pe10, 10004, 14709.128, 192.65877, 620.4455, 427.78673, 1095.0569, 439.3981, 439.3981
42, pe10, 10293, 14534.637, 157.34906, 585.87736, 428.5283, 935.26415, 534.71698, 534.71698
43, pe10, 10602, 14277.042, 190.80282, 581.88263, 391.07981, 879.99531, 503.25352, 503.25352
44, pe10, 10926, 15324.557, 211.17925, 580.79245, 369.61321, 1118.1368, 599.35377, 599.35377
45, pe10, 11225, 15814.566, 152.77358, 642.32547, 489.55189, 1129.783, 616.79245, 616.79245
46, pe10, 11574, 16613.341, 189.47867, 718.18009, 528.70616, 1125.891, 582.08057, 582.08057
47, pe10, 11927, 17107.481, 222.35514, 782.55607, 560.20093, 1337.0421, 542.54673, 542.54673
48, pe10, 12303, 16860.038, 172.16509, 751.14151, 578.97642, 1007.5849, 523.06132, 523.06132
49, pe10, 12607, 17121.081, 286.54976, 841.58294, 555.03318, 1490.2701, 723.96209, 723.96209
50, pe10, 12918, 16514.313, 174.58879, 627.35047, 452.76168, 1071.8458, 579.02804, 579.02804
51, pe10, 13272, 17938.75, 240.47642, 757.78774, 517.31132, 1150.9434, 526.24057, 526.24057
52, pe10, 13578, 17431.915, 214.109, 718.02844, 503.91943, 1262.8341, 687.38389, 687.38389
53, pe10, 13946, 18203.612, 206.03738, 909.70561, 703.66822, 1121.4299, 662.81776, 662.81776
54, pe10, 14274, 19372.351, 221.79621, 987.64929, 765.85308, 1316.6777, 495.67299, 495.67299
55, pe10, 14657, 18473.821, 207.68396, 888.75472, 681.07075, 1298.217, 593.53302, 593.53302
56, pe10, 15048, 18332.533, 212.75472, 857.34434, 644.58962, 1450.3208, 743.7217, 743.7217
57, pe10, 15465, 19114.901, 242.69484, 985.69014, 742.99531, 1488.6573, 650.47887, 650.47887
58, pe10, 15825, 19639.689, 204.08962, 832.57547, 628.48585, 1442.4292, 640.93396, 640.93396
59, pe10, 16228, 19084.486, 231.76415, 970.34906, 738.58491, 1261.3208, 644.6934, 644.6934
60, pe10, 16673, 20540.606, 203.29108, 1001.9014, 798.61033, 1352.9061, 633.83099, 633.83099
61, pe10, 17184, 20822.755, 213.48585, 1052.6934, 839.20755, 1464.5236, 626.43868, 626.43868
62, pe10, 17664, 21338.071, 214.83019, 1053.8019, 838.9717, 1590.7547, 718.31604, 718.31604
63, pe10, 18132, 21154.377, 235.10849, 1125.4198, 890.31132, 1427.3019, 649.11321, 649.11321
64, pe10, 18564, 21981.057, 180.81604, 1002.5377, 821.7217, 1413.684, 662.52358, 662.52358
65, pe10, 19067, 22788.967, 228.01878, 1141.9812, 913.96244, 1587.1549, 696.69953, 696.69953
66, pe10, 19555, 23347.929, 144.39623, 1104.9906, 960.59434, 1500.75, 642.0283, 642.0283
67, pe10, 20103, 22490.434, 225.91038, 1200.1745, 974.26415, 1516.1981, 644.08491, 644.08491
68, pe10, 20589, 24469.239, 493.69484, 1634.385, 1140.6901, 1524.3239, 736.67136, 736.67136
69, pe10, 21115, 22736.547, 220.75472, 1205.3491, 984.59434, 1658.7028, 698.79245, 698.79245
70, pe10, 21622, 23543.594, 256.38208, 1208.4198, 952.03774, 1670.4575, 582.82075, 582.82075
71, pe10, 22192, 23593.887, 205.22066, 1054.662, 849.44131, 1562, 696.71831, 696.71831
72, pe10, 22793, 24608.967, 220.04717, 1254.184, 1034.1368, 1708.1651, 783.81604, 783.81604
73, pe10, 23427, 25021.141, 193.75587, 1189.7887, 996.03286, 1996.939, 956.81221, 956.81221
74, pe10, 24015, 25480.972, 242.109, 1306.6066, 1064.5024, 1875.5829, 871.43602, 871.43602
75, pe10, 24689.5, 26035.505, 253.56604, 1348.8208, 1095.2547, 1889.5472, 679.40094, 679.40094
76, pe10, 25358, 27121.657, 360.73239, 1627.2911, 1266.5587, 2192.7793, 1116.7183, 1116.7183
77, pe10, 26002, 28051.319, 266.9061, 1562.5399, 1295.6338, 2164.5634, 1027.6056, 1027.6056
78, pe10, 26971, 27776.469, 322.36019, 1469.218, 1146.8626, 2266.7393, 1095.5829, 1095.5829
79, pe10, 27819, 27859.554, 311.42254, 1651.1502, 1339.7277, 2321.6432, 946.76995, 946.76995
80, pe10, 28716, 28407.217, 316.06132, 1779.6321, 1463.5708, 2382.0283, 1032.0943, 1032.0943
81, pe10, 29663, 29828.646, 240.49528, 1611.0236, 1370.5283, 2250.967, 973.88679, 973.88679
82, pe10, 30595, 29627.66, 268.85849, 1578.3538, 1309.4953, 2482.5094, 983.81132, 983.81132
83, pe10, 31762, 29389.793, 258.30516, 1682.8357, 1424.5305, 1869.6995, 847.19718, 847.19718
84, pe10, 32897, 32334.382, 229.58491, 1846.9811, 1617.3962, 2438.3868, 998.83019, 998.83019
85, pe10, 34082, 31993.288, 278.69811, 1693.5047, 1414.8066, 2501.5472, 1067.4623, 1067.4623
86, pe10, 35428, 33086.268, 269.84038, 1782.6197, 1512.7793, 2574.7981, 1050.9155, 1050.9155
87, pe10, 36752, 32628.057, 260.55189, 2050.9245, 1790.3726, 2377.2547, 1152.467, 1152.467
88, pe10, 38296, 33970.717, 435.81604, 2345.3821, 1909.566, 2702.9057, 1224.1792, 1224.1792
89, pe10, 39939, 36864.892, 461.31604, 2535.6651, 2074.3491, 3309.1179, 1055.3821, 1055.3821
90, pe10, 42000, 34550.304, 288.05607, 2056.4813, 1768.4252, 2641.0981, 1176.4766, 1176.4766
91, pe10, 44153, 39389.948, 421.24645, 2718.6114, 2297.3649, 3118.9763, 1192.4976, 1192.4976
