quantile, ccyy, threshold, hc, hceduc, hcmed
100, fr10, ., 85575.801, 1178.9363, 939.41401
1, il10, 14316, 77108.889, 4299.0968, 1930.8387
2, il10, 20244, 76407.051, 3247.7419, 5016.9677
3, il10, 24612, 69387.148, 1390.2581, 2452.8387
4, il10, 27144, 63989.4, 3675.541, 1922.3607
5, il10, 28908, 52939.6, 656.7619, 3397.1429
6, il10, 30480, 55565, 1218.5806, 2732.129
7, il10, 33024, 61105.22, 1267.8, 2555
8, il10, 35160, 77794.373, 1702.4516, 6056.5161
9, il10, 37188, 69820.525, 1917.2903, 2872.4516
10, il10, 39404, 68701, 843.54098, 2810.9508
11, il10, 41345, 67084.131, 923.03226, 3262.2581
12, il10, 43164, 79631.186, 1842.5806, 2749.9355
13, il10, 45108, 83780.4, 1520.2623, 4195.082
14, il10, 46971, 84412.328, 1263.2903, 3723.871
15, il10, 49237, 84980.262, 1678.8387, 3362.7097
16, il10, 51060, 85188.407, 3613.9672, 3390.6885
17, il10, 53040, 91469, 1684.4516, 3375.871
18, il10, 54778, 79873.355, 1914, 2314.8387
19, il10, 56760, 79518.508, 669.83607, 2306.5574
20, il10, 59072, 90584.069, 2018.3226, 3131.2258
21, il10, 61068, 95438.951, 1018.2581, 2645.6129
22, il10, 62796, 93260.949, 2108.0656, 4291.082
23, il10, 65112, 94915.742, 3319.3548, 3045.4839
24, il10, 66972, 97213.4, 2218.6452, 4503.871
25, il10, 68842, 94472.066, 3311.0164, 4584
26, il10, 70920, 100587.25, 3993.0968, 3805.9355
27, il10, 72610, 100658.24, 4867.1613, 2426.7097
28, il10, 74771, 106917.2, 4671.871, 3659.8065
29, il10, 76593, 109009.6, 2015.6066, 4750.8197
30, il10, 78420, 116651.03, 4614.7742, 4624.6452
31, il10, 80801, 123365.11, 5879.2258, 4898.9032
32, il10, 82464, 128761.2, 4822.623, 3520.7213
33, il10, 84577, 115405.16, 4332.9677, 4642.4516
34, il10, 86456, 120696.98, 6076.4516, 4863.871
35, il10, 88621, 116522.75, 3837.4426, 3605.1148
36, il10, 90600, 123230.13, 4556.5161, 3580.4516
37, il10, 92244, 130596.58, 4876.0645, 4568.9032
38, il10, 94085, 123391.67, 3663.1475, 3966.2951
39, il10, 97465, 129981.68, 4128.3871, 3372.3871
40, il10, 99691, 143575.8, 5013.871, 6871.9355
41, il10, 102477, 125783.61, 3627.3443, 4754.7541
42, il10, 104892, 125916.79, 3252.7742, 4054.0645
43, il10, 106767, 127221.48, 4193.6129, 5166.5806
44, il10, 108897, 134424.79, 6721.1803, 5532.1967
45, il10, 111132, 127146.89, 3264.7742, 3664.2581
46, il10, 113348, 135940.84, 5638.8387, 7850.5161
47, il10, 115997, 139688, 3848.8525, 3375.3443
48, il10, 118705, 128988.19, 5358.7742, 2734.0645
49, il10, 121104, 134673.64, 5783.4194, 5100.9677
50, il10, 123803.5, 153369.25, 5537.9016, 5366.5574
51, il10, 125931, 147039.1, 3663.0968, 7364.9032
52, il10, 128409, 141460.72, 6978, 3911.6129
53, il10, 131160, 142174.62, 3811.5484, 4446.5806
54, il10, 133959, 138876.98, 5233.7705, 4267.082
55, il10, 136709, 152639.61, 7793.4194, 5283.6774
56, il10, 139265, 142680.79, 5910.5806, 3607.5484
57, il10, 142426, 150434.56, 4157.9016, 5124.9836
58, il10, 145178, 155529.1, 8932.2581, 5566.6452
59, il10, 148333, 149656.8, 4947.0968, 5699.6129
60, il10, 151604, 176372.8, 5346.4918, 11409.049
61, il10, 154781, 164213.61, 6127.7419, 6531.871
62, il10, 158270, 167227.16, 6518.129, 4075.5484
63, il10, 161313, 150943.48, 4931.8033, 5760.3934
64, il10, 164416, 173085.87, 7606.6452, 8803.7419
65, il10, 167879, 174827.61, 7667.0323, 5927.6129
66, il10, 171128, 181412.66, 6130.623, 5918.1639
67, il10, 174578, 157440.97, 4719.4839, 5107.5484
68, il10, 177957, 180867.74, 8315.6129, 5663.4194
69, il10, 181905, 187906.84, 9192.9677, 6311.6129
70, il10, 184582, 176176.33, 8900.8525, 5880
71, il10, 188912, 192938.16, 8883.2903, 4277.2258
72, il10, 192070, 180832.52, 10394.164, 9512.0656
73, il10, 196124, 174402.3, 7122, 4805.4194
74, il10, 201268, 193264.45, 8119.5484, 6537.2903
75, il10, 205687.5, 196156.72, 6476.2623, 15198.492
76, il10, 210712, 209336.26, 9153.871, 6415.9355
77, il10, 215443, 190014, 9021.2903, 5991.6774
78, il10, 220182, 209456.9, 9679.5484, 7549.5484
79, il10, 225171, 191925.05, 7332.1967, 7194.6885
80, il10, 229618, 205037.6, 9774, 7058.3226
81, il10, 234770, 218350.82, 13097.226, 5962.8387
82, il10, 240694, 245522.75, 11170.82, 7088.2623
83, il10, 247109, 213004.65, 10234.258, 5991.6774
84, il10, 252549, 264656.26, 15463.161, 6774
85, il10, 260456, 234707, 13627.279, 9291.7377
86, il10, 267556, 227457.84, 9399.2903, 7661.8065
87, il10, 276681, 236329.97, 9617.0323, 11132.516
88, il10, 284714, 260723.8, 12668.459, 7797.2459
89, il10, 292776, 244950.77, 13888.065, 5993.4194
90, il10, 302165, 248608.65, 14869.548, 6464.5161
91, il10, 314218, 263377.97, 11754.689, 8761.7705
92, il10, 327432, 254819.03, 10646.903, 11548.452
93, il10, 342974, 284724.77, 16502.516, 6400.8387
94, il10, 360657, 272476.33, 14751.148, 8256.1967
95, il10, 380732, 320562.19, 15169.742, 9968.9032
96, il10, 406982, 320647.94, 13430.516, 8893.3548
97, il10, 443280, 332608.33, 12963.934, 9981.0492
98, il10, 495599, 349804.65, 13981.548, 9660.9677
99, il10, 580921, 384702.19, 14928, 13559.419
100, il10, ., 415881.44, 20795.607, 9356.6557
1, mx10, 2154, 88818.39, 5348.722, 3373.6823
2, mx10, 7174, 40645.191, 1455.4477, 1063.9892
3, mx10, 9860, 38021.377, 850.42754, 801.35507
4, mx10, 12038, 35433.534, 1114.6354, 731.96029
5, mx10, 13863, 34472.982, 1217.4384, 650.55435
6, mx10, 15728, 42628.295, 3151.0899, 979.91367
7, mx10, 17482, 39172.571, 1417.8473, 602.96
8, mx10, 19048, 39827.812, 1785.6101, 666.15523
9, mx10, 20648, 38865.927, 1679.9529, 833.11594
10, mx10, 22076, 42840.181, 2266.4729, 776.65704
11, mx10, 23612, 40507.791, 1796.2816, 826.93502
12, mx10, 24760, 47246.406, 1748.0797, 521.13406
13, mx10, 26274, 43752.709, 1659.6547, 1530.3957
14, mx10, 27871, 44088.211, 1749.7018, 1195.1927
15, mx10, 29169, 45065.603, 1768.9458, 1262.0325
16, mx10, 30472, 49967.877, 1831.1594, 1215.6123
17, mx10, 31798, 47520.097, 2120.5668, 772.91336
18, mx10, 32988, 50030.397, 1991.5054, 890.59206
19, mx10, 34154, 51916.779, 2237.971, 786.03986
20, mx10, 35589.5, 50549.83, 2124.5978, 785.97826
21, mx10, 36719, 54091.711, 2669.6895, 929.58123
22, mx10, 38181, 53353.22, 2730.4874, 603.15162
23, mx10, 39405, 54163.325, 2354.509, 876.10469
24, mx10, 40671, 53750.482, 2317.8442, 744.97826
25, mx10, 41901, 53546.123, 2421.3297, 1250.2065
26, mx10, 43312, 56350.282, 2830.6101, 781.81588
27, mx10, 44552, 57908.257, 2552.7826, 989.59783
28, mx10, 45773, 59241.498, 2445.8087, 1206.4079
29, mx10, 47084, 58954.876, 2536.3986, 510.77899
30, mx10, 48358, 61651.04, 3224.6101, 1154.9603
31, mx10, 49603, 61846.752, 3041.5284, 1114.3333
32, mx10, 50818, 62399.572, 3788.8081, 1008.8339
33, mx10, 52124, 63192.738, 2998.1505, 809.84946
34, mx10, 53537, 65983.701, 3821.9891, 942.41971
35, mx10, 54929, 64753.134, 2764.4693, 1357.7942
36, mx10, 56353, 67738.014, 3594.442, 1484.7101
37, mx10, 57757, 66646.554, 3075.5179, 942.92857
38, mx10, 59028, 65903.436, 3316.5971, 1174.1758
39, mx10, 60321, 71108.841, 3787.3357, 1560.6282
40, mx10, 61702, 76416.419, 5014.6691, 1240.7626
41, mx10, 63154, 73481.953, 4332.3309, 820.51799
42, mx10, 64575, 74527.622, 4521, 1410.5345
43, mx10, 66082, 75394.741, 3979.32, 1964.6473
44, mx10, 67684, 75764.614, 4201.5668, 1132.7076
45, mx10, 69352, 77392.714, 4372.9711, 1351.065
46, mx10, 70836, 75345.188, 4519.6196, 1071.4565
47, mx10, 72401, 83329.671, 5708.8989, 1657.8845
48, mx10, 73800, 81264.802, 5624.705, 1670.7842
49, mx10, 75435, 80482.139, 5683.3467, 2123.8942
50, mx10, 77120, 86150.119, 5850.4079, 1710.9603
51, mx10, 78640, 83222.817, 5264.9173, 1070.5288
52, mx10, 80471, 85910.069, 6412.5964, 1636.7855
53, mx10, 82168, 86745.62, 5422.3069, 1923.065
54, mx10, 83991, 87112.199, 5197.2246, 1510.663
55, mx10, 85829, 91028.466, 5651.6426, 1052.8953
56, mx10, 87814, 89492.522, 4557.917, 1482.639
57, mx10, 89641, 87232.688, 5600.1522, 1555.6812
58, mx10, 91593, 92753.899, 5504.4384, 1739.2101
59, mx10, 93529, 95020.047, 5466.3935, 1601.361
60, mx10, 95856, 96399.529, 6266.5906, 1425.4928
61, mx10, 97532, 99561.556, 5718.4188, 1584.9928
62, mx10, 99776, 102931.71, 6465.2708, 1310.5884
63, mx10, 102232, 105246.64, 5432.0325, 1544.8592
64, mx10, 104540, 103906.35, 7377.0761, 2136.2935
65, mx10, 107090, 106306.71, 7365.7572, 1946.5217
66, mx10, 109208, 103832.47, 6187.509, 1427.4477
67, mx10, 111904, 110986.37, 9293.6667, 2119.9391
68, mx10, 114555, 105557.07, 7082.5766, 1753.8686
69, mx10, 117536, 111311.62, 7643.7862, 1548.7681
70, mx10, 120326, 116947.61, 7858.6806, 2633.875
71, mx10, 123085, 121694.34, 6375.1391, 3401.6203
72, mx10, 126143, 120772.84, 7703.4891, 2700.2645
73, mx10, 129453, 123429.32, 9544.121, 2742.1246
74, mx10, 133082, 118889.2, 7958.3636, 1898.0727
75, mx10, 136824, 124244.69, 9149.7993, 3575.0182
76, mx10, 141148, 131780.68, 12452.779, 1840.1196
77, mx10, 145181, 139591.59, 11374, 3762.156
78, mx10, 149589, 135537.08, 8943.9004, 3917.9446
79, mx10, 153851, 131174.95, 9323.4767, 2560.2724
80, mx10, 158499.5, 145028.68, 13663.92, 2548.2701
81, mx10, 163443, 140467.36, 9509.8669, 2366.8561
82, mx10, 168974, 142043.09, 12529.707, 2598.029
83, mx10, 175877, 152586.76, 12667.058, 3538.7437
84, mx10, 182081, 164973.61, 14323.065, 2981.3971
85, mx10, 189078, 156949.52, 13430.996, 4314.1309
86, mx10, 196321, 171710.04, 13845.473, 7025.1769
87, mx10, 204806, 166921.52, 12931.964, 5044.8659
88, mx10, 213536, 173440.52, 13869.029, 4355.7256
89, mx10, 223659, 186289.5, 16250.13, 4146.6268
90, mx10, 233915, 187221.82, 17708.632, 4520.6462
91, mx10, 247009, 196886.16, 16273.585, 3823.0686
92, mx10, 261930, 208494.64, 18615.116, 4658.3225
93, mx10, 282527, 217751.84, 22900.679, 5397.6859
94, mx10, 302561, 224928.89, 19780.953, 5366.1087
95, mx10, 330336, 246613.29, 21471.762, 7270.6787
96, mx10, 367211, 252868.74, 32910.641, 7249.2464
97, mx10, 414122, 299477.74, 35195.256, 8314.6137
98, mx10, 490332, 324158.76, 36878.283, 8544.087
99, mx10, 643827, 389095.68, 41051.238, 12055.318
100, mx10, ., 605377.06, 68086.721, 25280.703
1, pe10, -91, 13368.685, 529.35681, 1197.1972
2, pe10, 94, 12721.056, 547.05634, 815.98122
3, pe10, 290, 6313.9005, 186.98104, 272.92417
4, pe10, 496, 5454.2991, 122.49065, 338.71028
5, pe10, 674, 6242.7109, 180.15166, 452.08057
6, pe10, 884, 6069.7196, 185.85514, 434.50935
7, pe10, 1115, 6180.2524, 153.46667, 507.55714
8, pe10, 1311, 6786.7535, 236.13023, 373.31163
9, pe10, 1513, 6497.1462, 155.5, 423.37736
10, pe10, 1715, 7665.9333, 275.90476, 595.8381
11, pe10, 1909, 6796.9061, 177.47887, 429.94836
12, pe10, 2139, 7430.3538, 271.98113, 439.83491
13, pe10, 2370, 7472.1028, 279.3972, 498.16822
14, pe10, 2573, 7770.3412, 228.19431, 527.76303
15, pe10, 2784, 8510.684, 300.18396, 463.35377
