quantile, percentile, hceduc, ccyy
76, 210712, 9153.871, il10
77, 215443, 9021.2903, il10
78, 220182, 9679.5484, il10
79, 225171, 7332.1967, il10
80, 229618, 9774, il10
81, 234770, 13097.226, il10
82, 240694, 11170.82, il10
83, 247109, 10234.258, il10
84, 252549, 15463.161, il10
85, 260456, 13627.279, il10
86, 267556, 9399.2903, il10
87, 276681, 9617.0323, il10
88, 284714, 12668.459, il10
89, 292776, 13888.065, il10
90, 302165, 14869.548, il10
91, 314218, 11754.689, il10
92, 327432, 10646.903, il10
93, 342974, 16502.516, il10
94, 360657, 14751.148, il10
95, 380732, 15169.742, il10
96, 406982, 13430.516, il10
97, 443280, 12963.934, il10
98, 495599, 13981.548, il10
99, 580921, 14928, il10
100, ., 20795.607, il10
1, 2154, 5348.722, mx10
2, 7174, 1455.4477, mx10
3, 9860, 850.42754, mx10
4, 12038, 1114.6354, mx10
5, 13863, 1217.4384, mx10
6, 15728, 3151.0899, mx10
7, 17482, 1417.8473, mx10
8, 19048, 1785.6101, mx10
9, 20648, 1679.9529, mx10
10, 22076, 2266.4729, mx10
11, 23612, 1796.2816, mx10
12, 24760, 1748.0797, mx10
13, 26274, 1659.6547, mx10
14, 27871, 1749.7018, mx10
15, 29169, 1768.9458, mx10
16, 30472, 1831.1594, mx10
17, 31798, 2120.5668, mx10
18, 32988, 1991.5054, mx10
19, 34154, 2237.971, mx10
20, 35589.5, 2124.5978, mx10
21, 36719, 2669.6895, mx10
22, 38181, 2730.4874, mx10
23, 39405, 2354.509, mx10
24, 40671, 2317.8442, mx10
25, 41901, 2421.3297, mx10
26, 43312, 2830.6101, mx10
27, 44552, 2552.7826, mx10
28, 45773, 2445.8087, mx10
29, 47084, 2536.3986, mx10
30, 48358, 3224.6101, mx10
31, 49603, 3041.5284, mx10
32, 50818, 3788.8081, mx10
33, 52124, 2998.1505, mx10
34, 53537, 3821.9891, mx10
35, 54929, 2764.4693, mx10
36, 56353, 3594.442, mx10
37, 57757, 3075.5179, mx10
38, 59028, 3316.5971, mx10
39, 60321, 3787.3357, mx10
40, 61702, 5014.6691, mx10
41, 63154, 4332.3309, mx10
42, 64575, 4521, mx10
43, 66082, 3979.32, mx10
44, 67684, 4201.5668, mx10
45, 69352, 4372.9711, mx10
46, 70836, 4519.6196, mx10
47, 72401, 5708.8989, mx10
48, 73800, 5624.705, mx10
49, 75435, 5683.3467, mx10
50, 77120, 5850.4079, mx10
51, 78640, 5264.9173, mx10
52, 80471, 6412.5964, mx10
53, 82168, 5422.3069, mx10
54, 83991, 5197.2246, mx10
55, 85829, 5651.6426, mx10
56, 87814, 4557.917, mx10
57, 89641, 5600.1522, mx10
58, 91593, 5504.4384, mx10
59, 93529, 5466.3935, mx10
60, 95856, 6266.5906, mx10
61, 97532, 5718.4188, mx10
62, 99776, 6465.2708, mx10
63, 102232, 5432.0325, mx10
64, 104540, 7377.0761, mx10
65, 107090, 7365.7572, mx10
66, 109208, 6187.509, mx10
67, 111904, 9293.6667, mx10
68, 114555, 7082.5766, mx10
69, 117536, 7643.7862, mx10
70, 120326, 7858.6806, mx10
71, 123085, 6375.1391, mx10
72, 126143, 7703.4891, mx10
73, 129453, 9544.121, mx10
74, 133082, 7958.3636, mx10
75, 136824, 9149.7993, mx10
76, 141148, 12452.779, mx10
77, 145181, 11374, mx10
78, 149589, 8943.9004, mx10
79, 153851, 9323.4767, mx10
80, 158499.5, 13663.92, mx10
